date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2019-08-17 00:00:00,26.17083333333333,22.57083333333333,29.770833333333332,0.0,0.0,130.0,9.241666666666667,,1015.9583333333334,
2019-08-18 00:00:00,27.2,23.85,30.549999999999997,0.0,0.0,150.0,8.9375,,1015.2708333333334,
2019-08-19 00:00:00,26.929166666666664,21.629166666666663,32.229166666666664,0.0,0.0,250.0,11.291666666666666,,1014.7791666666668,
2019-08-20 00:00:00,27.15416666666667,23.804166666666667,30.50416666666667,0.0,0.0,160.0,12.2875,,1017.3541666666666,
2019-08-21 00:00:00,26.9875,23.3375,30.637500000000003,13.0,0.0,0.0,11.241666666666667,,1014.3333333333334,
2019-08-22 00:00:00,27.59166666666667,22.84166666666667,32.34166666666667,0.0,0.0,220.0,13.3,,1010.9708333333332,
2019-08-23 00:00:00,22.3375,17.3375,27.3375,28.9,0.0,330.0,10.758333333333333,,1014.4875,
2019-08-24 00:00:00,21.34166666666667,17.44166666666667,25.241666666666667,0.0,0.0,10.0,17.662499999999998,,1019.8791666666666,
2019-08-25 00:00:00,21.3,17.15,25.450000000000003,0.0,0.0,20.0,17.533333333333335,,1023.7708333333334,
2019-08-26 00:00:00,19.541666666666668,15.391666666666667,23.69166666666667,0.0,0.0,20.0,16.5125,,1022.8458333333332,
2019-08-27 00:00:00,20.191666666666663,16.84166666666666,23.541666666666664,0.0,0.0,20.0,11.016666666666666,,1018.9541666666668,
2019-08-28 00:00:00,21.816666666666663,19.316666666666663,24.316666666666663,0.3,0.0,20.0,8.025,,1013.3458333333332,
2019-08-29 00:00:00,23.766666666666666,19.316666666666663,28.21666666666667,0.3,0.0,300.0,16.629166666666666,,1011.0708333333332,
2019-08-30 00:00:00,23.90833333333333,16.40833333333333,31.40833333333333,0.0,0.0,220.0,16.729166666666668,,1015.7416666666668,
2019-08-31 00:00:00,24.84166666666667,20.991666666666667,28.69166666666667,0.0,0.0,10.0,11.0,,1020.9166666666666,
2019-09-01 00:00:00,21.679166666666664,17.77916666666666,25.579166666666666,0.0,0.0,20.0,15.875,,1025.9583333333333,
